=== FINAL BATCH SUMMARY ===
experiments: 8

experiment                     |    slo |    acc | avg_rt(s) |  sched(ms) |   docs | pred_cnt | pred_samp |   conf
------------------------------------------------------------------------------------------------------------------------
infaas_out64_rps22             |  0.951 |  0.603 |     1.128 |     0.5805 |   1319 |      N/A |       N/A |    N/A
tedi_out64_rps22               |  0.999 |  0.606 |     0.983 |     0.6349 |   1319 |      572 |     16677 |  0.889
infaas_out64_rps24             |  0.678 |  0.606 |     1.630 |     0.6088 |   1319 |      N/A |       N/A |    N/A
tedi_out64_rps24               |  0.973 |  0.602 |     1.261 |     0.7905 |   1319 |      522 |     17163 |  0.862
infaas_out64_rps26             |  0.073 |  0.605 |     3.257 |     0.8327 |   1319 |      N/A |       N/A |    N/A
tedi_out64_rps26               |  0.896 |  0.607 |     1.479 |     0.8677 |   1319 |      483 |     16824 |  0.814
infaas_out256_rps4              |  0.995 |  0.778 |     1.529 |     0.3448 |   1319 |      N/A |       N/A |    N/A
tedi_out256_rps4                |  0.998 |  0.770 |     1.371 |     0.3471 |   1319 |     2992 |     40044 |  0.858
infaas_out256_rps6              |  0.913 |  0.776 |     2.563 |     0.3930 |   1319 |      N/A |       N/A |    N/A
tedi_out256_rps6                |  0.986 |  0.771 |     2.069 |     0.4300 |   1319 |     2022 |     47904 |  0.854
infaas_out256_rps8              |  0.004 |  0.779 |    14.467 |     0.6282 |   1319 |      N/A |       N/A |    N/A
tedi_out256_rps8                |  0.773 |  0.773 |     4.192 |     0.6189 |   1319 |     1540 |     55620 |  0.781
infaas_out1024_rps1_5          |  0.965 |  0.735 |     8.168 |     0.4063 |    200 |      N/A |       N/A |    N/A
tedi_out1024_rps1_5            |  0.990 |  0.740 |     7.531 |     0.4301 |    200 |     1278 |     20616 |  0.873
infaas_out1024_rps1_625        |  0.935 |  0.745 |     9.381 |     0.4213 |    200 |      N/A |       N/A |    N/A
tedi_out1024_rps1_625          |  0.995 |  0.745 |     8.752 |     0.4997 |    200 |     1233 |     22260 |  0.864
infaas_out1024_rps1_75         |  0.620 |  0.730 |    14.055 |     0.5263 |    200 |      N/A |       N/A |    N/A
tedi_out1024_rps1_75           |  0.880 |  0.730 |    11.686 |     0.6098 |    200 |     1184 |     22605 |  0.772
infaas_out1024_rps1_875        |  0.290 |  0.730 |    16.788 |     0.4846 |    200 |      N/A |       N/A |    N/A
tedi_out1024_rps1_875          |  0.575 |  0.725 |    14.205 |     0.5193 |    200 |     1161 |     22569 |  0.726

infaas_2shot_rps8              |  1.000 |  0.770 |     1.616 |     0.3849 |   1319 |      N/A |       N/A |    N/A
tedi_2shot_rps8                |  1.000 |  0.769 |     1.695 |     0.4387 |   1319 |     1518 |     46383 |  0.897
infaas_2shot_rps10             |  0.957 |  0.766 |     2.547 |     0.4888 |   1319 |      N/A |       N/A |    N/A
tedi_2shot_rps10               |  0.996 |  0.762 |     2.374 |     0.5759 |   1319 |     1229 |     53724 |  0.876
infaas_2shot_rps12             |  0.054 |  0.770 |     7.353 |     0.8150 |   1319 |      N/A |       N/A |    N/A
tedi_2shot_rps12               |  0.804 |  0.760 |     3.508 |     0.7793 |   1319 |     1003 |     57573 |  0.801
infaas_5shot_rps4              |  0.995 |  0.778 |     1.529 |     0.3448 |   1319 |      N/A |       N/A |    N/A
tedi_5shot_rps4                |  0.998 |  0.770 |     1.371 |     0.3471 |   1319 |     2992 |     40044 |  0.858
infaas_5shot_rps6              |  0.913 |  0.776 |     2.563 |     0.3930 |   1319 |      N/A |       N/A |    N/A
tedi_5shot_rps6                |  0.986 |  0.771 |     2.069 |     0.4300 |   1319 |     2022 |     47904 |  0.854
infaas_5shot_rps8              |  0.004 |  0.779 |    14.467 |     0.6282 |   1319 |      N/A |       N/A |    N/A
tedi_5shot_rps8                |  0.773 |  0.773 |     4.192 |     0.6189 |   1319 |     1540 |     55620 |  0.781
infaas_8shot_rps2              |  1.000 |  0.783 |     1.406 |     0.3512 |   1319 |      N/A |       N/A |    N/A
tedi_8shot_rps2                |  1.000 |  0.776 |     1.281 |     0.3731 |   1319 |     5547 |     39576 |  0.846
infaas_8shot_rps4              |  0.983 |  0.776 |     2.308 |     0.3494 |   1319 |      N/A |       N/A |    N/A
tedi_8shot_rps4                |  0.999 |  0.773 |     1.963 |     0.3857 |   1319 |     3045 |     46650 |  0.845
infaas_8shot_rps6              |  0.010 |  0.772 |    22.173 |     0.5517 |   1319 |      N/A |       N/A |    N/A
tedi_8shot_rps6                |  0.820 |  0.765 |     4.883 |     0.5772 |   1319 |     2171 |     54528 |  0.756
