experiment                     |    slo |    acc | avg_rt(s) |  sched(ms) |   docs | pred_cnt | pred_samp |   conf
------------------------------------------------------------------------------------------------------------------------
actual_one_token_fake_executor_1 |  1.000 |  0.600 |     7.317 |     0.4595 |      5 |       36 |       960 | 100.000
actual_one_token_fake_executor_2 |  1.000 |  0.500 |     7.534 |     0.4485 |     10 |       24 |      1085 | 100.000
actual_one_token_fake_executor_4 |  1.000 |  0.600 |     7.492 |     0.4323 |     20 |       19 |      1195 | 100.000
actual_one_token_fake_executor_8 |  1.000 |  0.675 |     7.624 |     0.4606 |     40 |       13 |      1770 | 100.000
actual_one_token_fake_executor_16 |  1.000 |  0.775 |     8.285 |     0.6138 |     80 |       14 |      3485 | 100.000

fake_executor_1                |  1.000 |  0.000 |     7.727 |     0.4528 |      5 |       41 |      1070 |  0.900
fake_executor_2                |  1.000 |  0.000 |     7.591 |     0.5676 |     10 |       25 |      1195 |  0.900
fake_executor_4                |  1.000 |  0.000 |     8.030 |     0.7584 |     20 |       41 |      1725 |  0.900
fake_executor_8                |  1.000 |  0.000 |     8.280 |     0.7229 |     40 |       17 |      2005 |  0.898
fake_executor_16               |  1.000 |  0.000 |     8.868 |     1.0128 |     80 |       35 |      4570 |  0.900
fake_executor_24               |  0.575 |  0.000 |     9.945 |     1.6203 |    120 |       36 |      7920 |  0.891
fake_executor_32               |  0.000 |  0.000 |    11.045 |     2.0270 |    160 |       37 |     10520 |  0.856
fake_executor_40               |  0.000 |  0.000 |    12.161 |     2.8443 |    200 |       39 |     12640 |  0.818
fake_executor_48               |  0.000 |  0.000 |    14.779 |     3.8190 |    240 |       41 |     17030 |  0.761
fake_executor_56               |  0.000 |  0.000 |    16.956 |     5.0254 |    280 |       43 |     22225 |  0.725
fake_executor_64               |  0.000 |  0.000 |    19.582 |     6.6014 |    320 |       46 |     26745 |  0.700
