experiment                     |    slo |    acc | avg_rt(s) |  sched(ms) |   docs | pred_cnt | pred_samp |   conf
------------------------------------------------------------------------------------------------------------------------
oracle_delta_1000_slo_5_225_rps_7 |  0.979 |  0.772 |     3.318 |     0.8148 |   1319 |      N/A |       N/A |  0.855
all_features_delta_8_slo_5_225_rps_7 |  0.977 |  0.773 |     3.466 |     0.8152 |   1319 |    15285 |    132135 |  0.841
no_conf_delta_8_slo_5_225_rps_7 |  0.974 |  0.774 |     3.319 |     0.7844 |   1319 |    15540 |    132520 |  0.846
no_conf_no_progress_delta_1000_slo_5_225_rps_7 |  0.962 |  0.757 |     3.320 |     0.7767 |   1319 |      N/A |       N/A |  0.851
oracle_delta_1000_slo_5_225_rps_7_75 |  0.943 |  0.764 |     3.892 |     0.8806 |   1319 |      N/A |       N/A |  0.803
all_features_delta_8_slo_5_225_rps_7_75 |  0.923 |  0.751 |     4.033 |     0.9400 |   1319 |    13188 |    127275 |  0.780
no_conf_delta_8_slo_5_225_rps_7_75 |  0.923 |  0.729 |     4.122 |     0.9217 |   1319 |    12778 |    126425 |  0.765
no_conf_no_progress_delta_1000_slo_5_225_rps_7_75 |  0.898 |  0.729 |     4.189 |     0.9293 |   1319 |      N/A |       N/A |  0.770
oracle_delta_1000_slo_5_225_rps_8 |  0.949 |  0.744 |     4.116 |     0.9658 |   1319 |      N/A |       N/A |  0.764
all_features_delta_8_slo_5_225_rps_8 |  0.951 |  0.740 |     4.108 |     0.9313 |   1319 |    12848 |    126705 |  0.770
no_conf_delta_8_slo_5_225_rps_8 |  0.936 |  0.741 |     4.185 |     0.9885 |   1319 |    12410 |    125145 |  0.746
no_conf_no_progress_delta_1000_slo_5_225_rps_8 |  0.927 |  0.736 |     4.169 |     0.9500 |   1319 |      N/A |       N/A |  0.772
oracle_delta_1000_slo_5_225_rps_8_25 |  0.950 |  0.749 |     4.094 |     0.9718 |   1319 |      N/A |       N/A |  0.762
all_features_delta_8_slo_5_225_rps_8_25 |  0.922 |  0.723 |     4.245 |     0.9597 |   1319 |    12197 |    124405 |  0.739
no_conf_delta_8_slo_5_225_rps_8_25 |  0.924 |  0.727 |     4.207 |     0.9537 |   1319 |    12293 |    124620 |  0.735
no_conf_no_progress_delta_1000_slo_5_225_rps_8_25 |  0.842 |  0.717 |     4.445 |     1.0227 |   1319 |      N/A |       N/A |  0.717

oracle_delta_1000_rps_7_slo_3_135 |  0.970 |  0.754 |     2.298 |     0.6468 |   1319 |      N/A |       N/A |  0.810
all_features_delta_8_rps_7_slo_3_135 |  0.963 |  0.747 |     2.336 |     0.6515 |   1319 |    16071 |    128610 |  0.800
no_conf_delta_8_rps_7_slo_3_135 |  0.961 |  0.745 |     2.266 |     0.6248 |   1319 |    16269 |    128205 |  0.787
no_conf_no_progress_delta_1000_rps_7_slo_3_135 |  0.929 |  0.741 |     2.396 |     0.6396 |   1319 |      N/A |       N/A |  0.812

oracle_delta_1000_rps_7_slo_2_6125 |  0.940 |  0.753 |     2.019 |     0.6109 |   1319 |      N/A |       N/A |  0.775
all_features_delta_8_rps_7_slo_2_6125 |  0.870 |  0.737 |     2.198 |     0.6758 |   1319 |    15748 |    124570 |  0.736
no_conf_delta_8_rps_7_slo_2_6125 |  0.864 |  0.71 |     2.131 |     0.7065 |   1319 |    15873 |    124250 |  0.718
no_conf_no_progress_delta_1000_rps_7_slo_2_6125 |  0.827 |  0.726 |     2.254 |     0.7356 |   1319 |      N/A |       N/A |  0.755


oracle_delta_1000_rps_7_slo_2_09 |  0.879 |  0.723 |     1.738 |     0.5804 |   1319 |      N/A |       N/A |  0.718
all_features_delta_8_rps_7_slo_2_09 |  0.813 |  0.712 |     1.867 |     0.5747 |   1319 |    16012 |    122100 |  0.701
no_conf_delta_8_rps_7_slo_2_09 |  0.820 |  0.704 |     1.801 |     0.5825 |   1319 |    15915 |    121130 |  0.683
no_conf_no_progress_delta_1000_rps_7_slo_2_09 |  0.739 |  0.715 |     1.962 |     0.6087 |   1319 |      N/A |       N/A |  0.716



oracle_delta_1000_rps_7_slo_1_82875 |  0.792 |  0.716 |     1.641 |     0.5886 |   1319 |      N/A |       N/A |  0.671
all_features_delta_8_rps_7_slo_1_82875 |  0.757 |  0.705 |     1.823 |     0.5639 |   1319 |    15929 |    120600 |  0.669
no_conf_delta_8_rps_7_slo_1_82875 |  0.753 |  0.703 |     1.814 |     0.5593 |   1319 |    15958 |    119750 |  0.651
no_conf_no_progress_delta_1000_rps_7_slo_1_82875 |  0.703 |  0.706 |     1.795 |     0.5852 |   1319 |      N/A |       N/A |  0.690

oracle_delta_1000_rps_7_slo_1_5675 |  0.735 |  0.709 |     1.468 |     0.5762 |   1319 |      N/A |       N/A |  0.632
all_features_delta_8_rps_7_slo_1_5675 |  0.697 |  0.694 |     1.688 |     0.5473 |   1319 |    15945 |    118220 |  0.631
no_conf_delta_8_rps_7_slo_1_5675 |  0.667 |  0.685 |     1.531 |     0.6165 |   1319 |    16260 |    117390 |  0.605
no_conf_no_progress_delta_1000_rps_7_slo_1_5675 |  0.587 |  0.691 |     1.796 |     0.5753 |   1319 |      N/A |       N/A |  0.652
