=== AVERAGED SUMMARY ACROSS 4 FILES ===
experiments: 32

experiment                     |    slo |    acc | avg_rt(s) |  sched(ms) |   docs | pred_cnt | pred_samp |   conf
------------------------------------------------------------------------------------------------------------------------
all_features_delta_1_sync_false |  0.817 |  0.767 |     7.799 |     1.7282 |    180 |   1854.0 |   79640.0 |  0.860
all_features_delta_1_sync_true |  0.769 |  0.763 |     7.904 |     3.4381 |    180 |   1836.3 |   79166.7 |  0.853
all_features_delta_2_sync_false |  0.811 |  0.752 |     7.786 |     1.7062 |    180 |   1678.0 |   49731.7 |  0.858
all_features_delta_4_sync_false |  0.809 |  0.767 |     7.668 |     1.6091 |    180 |   1514.3 |   32941.7 |  0.868
all_features_delta_8_sync_false |  0.898 |  0.763 |     7.509 |     1.5001 |    180 |   1409.3 |   21063.3 |  0.876
all_features_delta_16_sync_false |  0.904 |  0.789 |     7.636 |     1.5800 |    180 |   1061.7 |   12405.0 |  0.866
all_features_delta_2_sync_true |  0.765 |  0.759 |     7.753 |     3.0297 |    180 |   1771.3 |   50235.0 |  0.862
all_features_delta_4_sync_true |  0.798 |  0.752 |     7.861 |     2.9187 |    180 |   1575.3 |   32690.0 |  0.859
all_features_delta_8_sync_true |  0.800 |  0.761 |     7.816 |     2.7567 |    180 |   1322.7 |   20913.3 |  0.861
all_features_delta_16_sync_true |  0.839 |  0.748 |     7.711 |     2.3808 |    180 |   1085.0 |   12365.0 |  0.863
no_confidence_features_delta_1_sync_false |  0.792 |  0.746 |     7.825 |     1.7120 |    180 |   1841.7 |   79945.0 |  0.859
no_confidence_features_delta_2_sync_false |  0.791 |  0.746 |     7.770 |     1.6974 |    180 |   1727.7 |   49971.7 |  0.861
no_confidence_features_delta_4_sync_false |  0.884 |  0.774 |     7.656 |     1.5031 |    180 |   1535.0 |   32803.3 |  0.866
no_confidence_features_delta_8_sync_false |  0.880 |  0.772 |     7.683 |     1.5531 |    180 |   1411.0 |   21023.3 |  0.868
no_confidence_features_delta_16_sync_false |  0.885 |  0.758 |     7.651 |     1.6124 |    180 |   1091.0 |   12365.0 |  0.869
no_confidence_features_delta_1_sync_true |  0.723 |  0.754 |     8.017 |     3.5846 |    180 |   1758.0 |   78898.3 |  0.850
no_confidence_features_delta_2_sync_true |  0.748 |  0.744 |     7.813 |     3.1979 |    180 |   1776.0 |   49831.7 |  0.859
no_confidence_features_delta_4_sync_true |  0.776 |  0.748 |     7.892 |     2.9314 |    180 |   1520.7 |   32678.3 |  0.858
no_confidence_features_delta_8_sync_true |  0.861 |  0.759 |     7.702 |     2.6212 |    180 |   1390.7 |   20940.0 |  0.869
no_confidence_features_delta_16_sync_true |  0.866 |  0.757 |     7.657 |     2.3818 |    180 |   1103.0 |   12368.3 |  0.866
all_features_delta_24_sync_false |  0.875 |  0.762 |     7.778 |     1.6117 |    180 |    878.0 |    8910.0 |  0.866
all_features_delta_32_sync_false |  0.911 |  0.778 |     7.543 |     1.5250 |    180 |    847.5 |    7640.0 |  0.869
all_features_delta_24_sync_true |  0.834 |  0.758 |     7.644 |     2.2336 |    180 |    910.5 |    8860.0 |  0.867
all_features_delta_32_sync_true |  0.881 |  0.772 |     7.680 |     2.1532 |    180 |    835.0 |    7640.0 |  0.866
no_confidence_features_delta_24_sync_false |  0.922 |  0.761 |     7.668 |     1.5810 |    180 |    912.5 |    8902.5 |  0.868
no_confidence_features_delta_32_sync_false |  0.964 |  0.772 |     7.435 |     1.4552 |    180 |    804.5 |    7640.0 |  0.873
no_confidence_features_delta_24_sync_true |  0.897 |  0.764 |     7.653 |     2.2206 |    180 |    910.5 |    8870.0 |  0.869
no_confidence_features_delta_32_sync_true |  0.900 |  0.775 |     7.519 |     2.0074 |    180 |    833.0 |    7640.0 |  0.871
all_features_delta_1000_sync_false |  1.000 |  0.761 |     7.260 |     1.5796 |    180 |      1.0 |     640.0 |  0.772
all_features_delta_1000_sync_true |  1.000 |  0.756 |     7.299 |     1.5974 |    180 |      1.0 |     640.0 |  0.776
no_confidence_features_delta_1000_sync_false |  1.000 |  0.772 |     7.222 |     1.5713 |    180 |      1.0 |     640.0 |  0.774
no_confidence_features_delta_1000_sync_true |  1.000 |  0.722 |     7.179 |     1.5351 |    180 |      1.0 |     640.0 |  0.778
